Chapter,Word Count
Psalms 117,26
Psalms 134,42
Psalms 131,65
Psalms 133,70
Psalms 100,79
Psalms 150,83
Job 25,89
Psalms 93,89
Psalms 114,94
Psalms 123,94
Psalms 15,96
Psalms 70,98
Psalms 13,100
Psalms 125,100
Esther 10,102
Psalms 121,103
Psalms 120,107
Psalms 124,108
Psalms 128,109
Psalms 23,114
Psalms 126,114
Psalms 113,119
Psalms 129,119
Psalms 1,120
Psalms 67,120
Psalms 127,120
Psalms 54,122
Psalms 130,127
Isaiah 12,127
Psalms 3,128
Psalms 82,129
Psalms 110,133
Psalms 43,137
Psalms 11,138
Psalms 87,139
Psalms 61,140
Psalms 122,140
Psalms 12,141
Psalms 14,141
Hosea 3,141
Psalms 149,142
Psalms 47,146
Psalms 142,147
Jeremiah 45,153
Psalms 4,161
Psalms 111,161
Psalms 112,161
Psalms 29,162
Psalms 98,162
Psalms 99,162
Psalms 26,163
Malachi 4,163
Psalms 20,165
Psalms 138,167
Psalms 137,170
Psalms 146,170
Psalms 53,173
Psalms 6,174
Psalms 24,174
Psalms 64,174
Isaiah 4,180
Psalms 97,181
Psalms 8,183
Psalms 101,184
Psalms 76,187
Psalms 16,192
Psalms 85,193
Psalms 52,195
Psalms 63,195
Isaiah 20,195
Psalms 36,196
Psalms 95,198
Psalms 28,199
Psalms 75,200
Psalms 141,202
Psalms 46,203
Psalms 96,209
Job 26,210
Psalms 108,210
Ezekiel 15,210
Psalms 60,211
Psalms 58,213
Jonah 2,213
Psalms 2,214
Psalms 148,215
Psalms 21,216
2 Chronicles 27,220
Isaiah 39,221
Psalms 30,222
Psalms 57,222
Psalms 48,227
Joshua 16,229
Psalms 143,230
Psalms 140,231
Leviticus 12,234
Revelation 15,236
Psalms 32,237
Hosea 14,237
Jeremiah 47,238
Psalms 62,241
Job 17,242
Psalms 92,243
Psalms 115,245
1 Chronicles 20,246
1 Thessalonians 1,246
Psalms 116,247
Isaiah 18,248
Jonah 3,248
Psalms 41,249
Isaiah 35,251
Isaiah 15,252
Psalms 84,254
Psalms 42,257
1 John 1,258
Job 35,260
1 Timothy 2,261
Psalms 56,262
Psalms 65,262
Psalms 5,264
Ecclesiastes 11,265
Joshua 20,269
Ezekiel 2,269
Psalms 83,275
1 Corinthians 13,275
Psalms 39,276
Psalms 19,282
Psalms 79,282
Job 23,284
Psalms 132,284
Deuteronomy 34,287
Psalms 81,288
Exodus 11,289
Zechariah 5,290
Isaiah 64,293
Hosea 6,293
Psalms 86,294
Numbers 17,295
Psalms 144,295
Psalms 147,295
Psalms 91,296
Hosea 11,296
Zechariah 3,296
1 Corinthians 8,296
2 Thessalonians 1,297
Titus 2,297
1 Thessalonians 3,299
Proverbs 9,300
Psalms 90,301
Psalms 80,302
1 Peter 5,302
Lamentations 5,304
Job 18,305
Psalms 135,305
Psalms 145,305
The Song of Songs 3,305
The Song of Songs 7,307
Hebrews 5,307
Psalms 27,308
Titus 3,310
1 Chronicles 14,311
Psalms 34,311
2 John 1,314
Psalms 66,315
Jonah 4,315
Psalms 7,318
Proverbs 2,318
Hosea 12,318
Zechariah 2,318
Ezra 1,319
Psalms 17,319
1 Timothy 4,319
2 Timothy 3,319
Zechariah 4,320
The Song of Songs 6,321
Isaiah 31,322
Psalms 88,324
Zechariah 13,324
1 Timothy 3,325
Ezekiel 19,326
1 Corinthians 5,326
Hebrews 1,328
Revelation 10,329
Psalms 25,331
Hosea 8,331
1 Chronicles 10,332
Ecclesiastes 6,333
Psalms 10,334
2 Chronicles 19,335
Esther 7,335
1 Samuel 31,336
Job 4,336
3 John 1,336
1 Chronicles 3,337
Psalms 49,337
Psalms 136,337
Psalms 77,339
Job 11,340
Psalms 94,341
Isaiah 62,341
Psalms 45,343
Romans 13,344
Judges 17,345
Psalms 9,345
1 Chronicles 13,347
2 Chronicles 17,348
Jeremiah 24,348
Job 8,350
Psalms 103,350
Revelation 4,350
Psalms 51,351
Ecclesiastes 12,351
Isaiah 27,351
Isaiah 56,351
1 Chronicles 18,352
Nahum 2,352
Hosea 1,353
2 Corinthians 13,353
Job 40,354
Isaiah 6,355
Isaiah 61,356
Psalms 33,357
Titus 1,357
Psalms 38,358
Proverbs 5,358
Micah 3,358
Isaiah 46,359
Daniel 12,360
Isaiah 50,361
Hebrews 3,361
Isaiah 25,362
Nehemiah 1,363
Judges 12,364
Ecclesiastes 1,365
Zechariah 7,365
Acts 6,365
1 Corinthians 2,365
Numbers 12,366
Isaiah 55,367
Ezekiel 9,367
Job 16,368
Judges 10,370
1 Samuel 27,371
Colossians 4,372
2 Samuel 9,373
Job 27,374
Isaiah 16,374
Hosea 5,376
Isaiah 53,377
Zechariah 10,377
2 Thessalonians 3,378
2 Samuel 8,379
